,,,,,soft_scc,soft_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,0,18
  CA: Alameda County (06001),2000-2004,male,0-44,hw,0,10
  CA: Alameda County (06001),2000-2004,male,0-44,b,0,6
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,0,21
  CA: Alameda County (06001),2000-2004,male,45-64,hw,0,1
  CA: Alameda County (06001),2000-2004,male,45-64,b,0,5
  CA: Alameda County (06001),2000-2004,male,65+,nhw,0,18
  CA: Alameda County (06001),2000-2004,male,65+,hw,0,2
  CA: Alameda County (06001),2000-2004,male,65+,b,0,5
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,1,12
  CA: Alameda County (06001),2000-2004,female,0-44,hw,0,9
  CA: Alameda County (06001),2000-2004,female,0-44,b,0,9
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,1,13
  CA: Alameda County (06001),2000-2004,female,45-64,hw,0,4
  CA: Alameda County (06001),2000-2004,female,45-64,b,0,8
  CA: Alameda County (06001),2000-2004,female,65+,nhw,0,23
  CA: Alameda County (06001),2000-2004,female,65+,hw,0,2
  CA: Alameda County (06001),2000-2004,female,65+,b,0,4
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,0,21
  CA: Alameda County (06001),2005-2009,male,0-44,hw,0,3
  CA: Alameda County (06001),2005-2009,male,0-44,b,0,8
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,2,20
  CA: Alameda County (06001),2005-2009,male,45-64,hw,0,6
  CA: Alameda County (06001),2005-2009,male,45-64,b,0,3
  CA: Alameda County (06001),2005-2009,male,65+,nhw,1,19
  CA: Alameda County (06001),2005-2009,male,65+,hw,0,5
  CA: Alameda County (06001),2005-2009,male,65+,b,0,4
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,0,7
  CA: Alameda County (06001),2005-2009,female,0-44,hw,0,8
  CA: Alameda County (06001),2005-2009,female,0-44,b,0,3
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,0,16
  CA: Alameda County (06001),2005-2009,female,45-64,hw,0,4
  CA: Alameda County (06001),2005-2009,female,45-64,b,0,5
  CA: Alameda County (06001),2005-2009,female,65+,nhw,0,22
  CA: Alameda County (06001),2005-2009,female,65+,hw,0,4
  CA: Alameda County (06001),2005-2009,female,65+,b,0,2
  CA: Alameda County (06001),2010-2013,male,0-44,nhw,0,6
  CA: Alameda County (06001),2010-2013,male,0-44,hw,0,5
  CA: Alameda County (06001),2010-2013,male,0-44,b,0,2
  CA: Alameda County (06001),2010-2013,male,45-64,nhw,0,22
  CA: Alameda County (06001),2010-2013,male,45-64,hw,0,8
  CA: Alameda County (06001),2010-2013,male,45-64,b,0,5
  CA: Alameda County (06001),2010-2013,male,65+,nhw,1,20
  CA: Alameda County (06001),2010-2013,male,65+,hw,0,2
  CA: Alameda County (06001),2010-2013,male,65+,b,0,4
  CA: Alameda County (06001),2010-2013,female,0-44,nhw,0,13
  CA: Alameda County (06001),2010-2013,female,0-44,hw,0,10
  CA: Alameda County (06001),2010-2013,female,0-44,b,0,4
  CA: Alameda County (06001),2010-2013,female,45-64,nhw,0,12
  CA: Alameda County (06001),2010-2013,female,45-64,hw,0,4
  CA: Alameda County (06001),2010-2013,female,45-64,b,0,5
  CA: Alameda County (06001),2010-2013,female,65+,nhw,0,15
  CA: Alameda County (06001),2010-2013,female,65+,hw,0,6
  CA: Alameda County (06001),2010-2013,female,65+,b,0,8
  CA: Contra Costa County (06013),2000-2004,male,0-44,nhw,0,20
  CA: Contra Costa County (06013),2000-2004,male,0-44,hw,0,1
  CA: Contra Costa County (06013),2000-2004,male,0-44,b,0,3
  CA: Contra Costa County (06013),2000-2004,male,45-64,nhw,0,21
  CA: Contra Costa County (06013),2000-2004,male,45-64,hw,0,1
  CA: Contra Costa County (06013),2000-2004,male,45-64,b,0,2
  CA: Contra Costa County (06013),2000-2004,male,65+,nhw,0,16
  CA: Contra Costa County (06013),2000-2004,male,65+,hw,0,2
  CA: Contra Costa County (06013),2000-2004,male,65+,b,0,3
  CA: Contra Costa County (06013),2000-2004,female,0-44,nhw,0,13
  CA: Contra Costa County (06013),2000-2004,female,0-44,hw,0,1
  CA: Contra Costa County (06013),2000-2004,female,0-44,b,0,6
  CA: Contra Costa County (06013),2000-2004,female,45-64,nhw,0,13
  CA: Contra Costa County (06013),2000-2004,female,45-64,hw,0,2
  CA: Contra Costa County (06013),2000-2004,female,45-64,b,0,5
  CA: Contra Costa County (06013),2000-2004,female,65+,nhw,0,24
  CA: Contra Costa County (06013),2000-2004,female,65+,hw,0,2
  CA: Contra Costa County (06013),2000-2004,female,65+,b,0,2
  CA: Contra Costa County (06013),2005-2009,male,0-44,nhw,0,16
  CA: Contra Costa County (06013),2005-2009,male,0-44,hw,0,4
  CA: Contra Costa County (06013),2005-2009,male,0-44,b,0,2
  CA: Contra Costa County (06013),2005-2009,male,45-64,nhw,0,25
  CA: Contra Costa County (06013),2005-2009,male,45-64,hw,0,4
  CA: Contra Costa County (06013),2005-2009,male,45-64,b,0,2
  CA: Contra Costa County (06013),2005-2009,male,65+,nhw,0,38
  CA: Contra Costa County (06013),2005-2009,male,65+,hw,0,2
  CA: Contra Costa County (06013),2005-2009,male,65+,b,0,4
  CA: Contra Costa County (06013),2005-2009,female,0-44,nhw,0,10
  CA: Contra Costa County (06013),2005-2009,female,0-44,hw,0,5
  CA: Contra Costa County (06013),2005-2009,female,0-44,b,0,2
  CA: Contra Costa County (06013),2005-2009,female,45-64,nhw,1,8
  CA: Contra Costa County (06013),2005-2009,female,45-64,hw,0,3
  CA: Contra Costa County (06013),2005-2009,female,45-64,b,0,6
  CA: Contra Costa County (06013),2005-2009,female,65+,nhw,0,21
  CA: Contra Costa County (06013),2005-2009,female,65+,hw,0,2
  CA: Contra Costa County (06013),2005-2009,female,65+,b,0,2
  CA: Contra Costa County (06013),2010-2013,male,0-44,nhw,0,10
  CA: Contra Costa County (06013),2010-2013,male,0-44,hw,0,4
  CA: Contra Costa County (06013),2010-2013,male,0-44,b,0,6
  CA: Contra Costa County (06013),2010-2013,male,45-64,nhw,1,20
  CA: Contra Costa County (06013),2010-2013,male,45-64,hw,0,4
  CA: Contra Costa County (06013),2010-2013,male,45-64,b,0,5
  CA: Contra Costa County (06013),2010-2013,male,65+,nhw,1,29
  CA: Contra Costa County (06013),2010-2013,male,65+,hw,0,1
  CA: Contra Costa County (06013),2010-2013,male,65+,b,0,6
  CA: Contra Costa County (06013),2010-2013,female,0-44,nhw,0,11
  CA: Contra Costa County (06013),2010-2013,female,0-44,hw,0,8
  CA: Contra Costa County (06013),2010-2013,female,0-44,b,0,3
  CA: Contra Costa County (06013),2010-2013,female,45-64,nhw,0,15
  CA: Contra Costa County (06013),2010-2013,female,45-64,hw,0,2
  CA: Contra Costa County (06013),2010-2013,female,45-64,b,0,5
  CA: Contra Costa County (06013),2010-2013,female,65+,nhw,0,11
  CA: Contra Costa County (06013),2010-2013,female,65+,hw,0,3
  CA: Contra Costa County (06013),2010-2013,female,65+,b,0,2
  CA: Marin County (06041),2000-2004,male,0-44,nhw,0,6
  CA: Marin County (06041),2000-2004,male,0-44,hw,0,2
  CA: Marin County (06041),2000-2004,male,0-44,b,0,0
  CA: Marin County (06041),2000-2004,male,45-64,nhw,0,10
  CA: Marin County (06041),2000-2004,male,45-64,hw,0,1
  CA: Marin County (06041),2000-2004,male,45-64,b,0,0
  CA: Marin County (06041),2000-2004,male,65+,nhw,0,7
  CA: Marin County (06041),2000-2004,male,65+,hw,0,1
  CA: Marin County (06041),2000-2004,male,65+,b,0,0
  CA: Marin County (06041),2000-2004,female,0-44,nhw,0,3
  CA: Marin County (06041),2000-2004,female,0-44,hw,0,2
  CA: Marin County (06041),2000-2004,female,0-44,b,0,0
  CA: Marin County (06041),2000-2004,female,45-64,nhw,0,3
  CA: Marin County (06041),2000-2004,female,45-64,hw,0,1
  CA: Marin County (06041),2000-2004,female,45-64,b,0,0
  CA: Marin County (06041),2000-2004,female,65+,nhw,0,12
  CA: Marin County (06041),2000-2004,female,65+,hw,0,0
  CA: Marin County (06041),2000-2004,female,65+,b,0,1
  CA: Marin County (06041),2005-2009,male,0-44,nhw,0,5
  CA: Marin County (06041),2005-2009,male,0-44,hw,0,1
  CA: Marin County (06041),2005-2009,male,0-44,b,0,1
  CA: Marin County (06041),2005-2009,male,45-64,nhw,0,8
  CA: Marin County (06041),2005-2009,male,45-64,hw,0,1
  CA: Marin County (06041),2005-2009,male,45-64,b,0,0
  CA: Marin County (06041),2005-2009,male,65+,nhw,0,16
  CA: Marin County (06041),2005-2009,male,65+,hw,0,0
  CA: Marin County (06041),2005-2009,male,65+,b,0,0
  CA: Marin County (06041),2005-2009,female,0-44,nhw,0,3
  CA: Marin County (06041),2005-2009,female,0-44,hw,0,1
  CA: Marin County (06041),2005-2009,female,0-44,b,0,1
  CA: Marin County (06041),2005-2009,female,45-64,nhw,0,10
  CA: Marin County (06041),2005-2009,female,45-64,hw,0,4
  CA: Marin County (06041),2005-2009,female,45-64,b,0,0
  CA: Marin County (06041),2005-2009,female,65+,nhw,0,15
  CA: Marin County (06041),2005-2009,female,65+,hw,0,0
  CA: Marin County (06041),2005-2009,female,65+,b,0,0
  CA: Marin County (06041),2010-2013,male,0-44,nhw,0,9
  CA: Marin County (06041),2010-2013,male,0-44,hw,0,2
  CA: Marin County (06041),2010-2013,male,0-44,b,0,0
  CA: Marin County (06041),2010-2013,male,45-64,nhw,0,4
  CA: Marin County (06041),2010-2013,male,45-64,hw,0,1
  CA: Marin County (06041),2010-2013,male,45-64,b,0,0
  CA: Marin County (06041),2010-2013,male,65+,nhw,0,17
  CA: Marin County (06041),2010-2013,male,65+,hw,0,1
  CA: Marin County (06041),2010-2013,male,65+,b,0,0
  CA: Marin County (06041),2010-2013,female,0-44,nhw,0,2
  CA: Marin County (06041),2010-2013,female,0-44,hw,0,2
  CA: Marin County (06041),2010-2013,female,0-44,b,0,0
  CA: Marin County (06041),2010-2013,female,45-64,nhw,0,2
  CA: Marin County (06041),2010-2013,female,45-64,hw,0,0
  CA: Marin County (06041),2010-2013,female,45-64,b,0,0
  CA: Marin County (06041),2010-2013,female,65+,nhw,0,9
  CA: Marin County (06041),2010-2013,female,65+,hw,0,1
  CA: Marin County (06041),2010-2013,female,65+,b,0,0
  CA: San Francisco County (06075),2000-2004,male,0-44,nhw,0,18
  CA: San Francisco County (06075),2000-2004,male,0-44,hw,0,7
  CA: San Francisco County (06075),2000-2004,male,0-44,b,0,1
  CA: San Francisco County (06075),2000-2004,male,45-64,nhw,0,11
  CA: San Francisco County (06075),2000-2004,male,45-64,hw,0,3
  CA: San Francisco County (06075),2000-2004,male,45-64,b,0,2
  CA: San Francisco County (06075),2000-2004,male,65+,nhw,0,14
  CA: San Francisco County (06075),2000-2004,male,65+,hw,0,6
  CA: San Francisco County (06075),2000-2004,male,65+,b,0,2
  CA: San Francisco County (06075),2000-2004,female,0-44,nhw,0,5
  CA: San Francisco County (06075),2000-2004,female,0-44,hw,0,8
  CA: San Francisco County (06075),2000-2004,female,0-44,b,0,2
  CA: San Francisco County (06075),2000-2004,female,45-64,nhw,0,6
  CA: San Francisco County (06075),2000-2004,female,45-64,hw,0,1
  CA: San Francisco County (06075),2000-2004,female,45-64,b,0,1
  CA: San Francisco County (06075),2000-2004,female,65+,nhw,0,5
  CA: San Francisco County (06075),2000-2004,female,65+,hw,0,1
  CA: San Francisco County (06075),2000-2004,female,65+,b,0,0
  CA: San Francisco County (06075),2005-2009,male,0-44,nhw,0,9
  CA: San Francisco County (06075),2005-2009,male,0-44,hw,0,3
  CA: San Francisco County (06075),2005-2009,male,0-44,b,0,3
  CA: San Francisco County (06075),2005-2009,male,45-64,nhw,0,12
  CA: San Francisco County (06075),2005-2009,male,45-64,hw,0,2
  CA: San Francisco County (06075),2005-2009,male,45-64,b,0,1
  CA: San Francisco County (06075),2005-2009,male,65+,nhw,0,13
  CA: San Francisco County (06075),2005-2009,male,65+,hw,0,3
  CA: San Francisco County (06075),2005-2009,male,65+,b,0,0
  CA: San Francisco County (06075),2005-2009,female,0-44,nhw,0,8
  CA: San Francisco County (06075),2005-2009,female,0-44,hw,0,2
  CA: San Francisco County (06075),2005-2009,female,0-44,b,0,1
  CA: San Francisco County (06075),2005-2009,female,45-64,nhw,0,12
  CA: San Francisco County (06075),2005-2009,female,45-64,hw,0,0
  CA: San Francisco County (06075),2005-2009,female,45-64,b,0,2
  CA: San Francisco County (06075),2005-2009,female,65+,nhw,0,13
  CA: San Francisco County (06075),2005-2009,female,65+,hw,0,5
  CA: San Francisco County (06075),2005-2009,female,65+,b,0,2
  CA: San Francisco County (06075),2010-2013,male,0-44,nhw,0,8
  CA: San Francisco County (06075),2010-2013,male,0-44,hw,0,3
  CA: San Francisco County (06075),2010-2013,male,0-44,b,0,1
  CA: San Francisco County (06075),2010-2013,male,45-64,nhw,2,11
  CA: San Francisco County (06075),2010-2013,male,45-64,hw,0,0
  CA: San Francisco County (06075),2010-2013,male,45-64,b,0,0
  CA: San Francisco County (06075),2010-2013,male,65+,nhw,2,10
  CA: San Francisco County (06075),2010-2013,male,65+,hw,1,1
  CA: San Francisco County (06075),2010-2013,male,65+,b,0,0
  CA: San Francisco County (06075),2010-2013,female,0-44,nhw,0,6
  CA: San Francisco County (06075),2010-2013,female,0-44,hw,0,2
  CA: San Francisco County (06075),2010-2013,female,0-44,b,0,1
  CA: San Francisco County (06075),2010-2013,female,45-64,nhw,0,8
  CA: San Francisco County (06075),2010-2013,female,45-64,hw,0,3
  CA: San Francisco County (06075),2010-2013,female,45-64,b,0,4
  CA: San Francisco County (06075),2010-2013,female,65+,nhw,0,11
  CA: San Francisco County (06075),2010-2013,female,65+,hw,0,1
  CA: San Francisco County (06075),2010-2013,female,65+,b,0,1
  CA: San Mateo County (06081),2000-2004,male,0-44,nhw,1,15
  CA: San Mateo County (06081),2000-2004,male,0-44,hw,0,5
  CA: San Mateo County (06081),2000-2004,male,0-44,b,0,2
  CA: San Mateo County (06081),2000-2004,male,45-64,nhw,0,17
  CA: San Mateo County (06081),2000-2004,male,45-64,hw,0,2
  CA: San Mateo County (06081),2000-2004,male,45-64,b,0,0
  CA: San Mateo County (06081),2000-2004,male,65+,nhw,0,11
  CA: San Mateo County (06081),2000-2004,male,65+,hw,0,3
  CA: San Mateo County (06081),2000-2004,male,65+,b,0,1
  CA: San Mateo County (06081),2000-2004,female,0-44,nhw,0,5
  CA: San Mateo County (06081),2000-2004,female,0-44,hw,0,2
  CA: San Mateo County (06081),2000-2004,female,0-44,b,0,0
  CA: San Mateo County (06081),2000-2004,female,45-64,nhw,0,11
  CA: San Mateo County (06081),2000-2004,female,45-64,hw,0,3
  CA: San Mateo County (06081),2000-2004,female,45-64,b,0,0
  CA: San Mateo County (06081),2000-2004,female,65+,nhw,0,8
  CA: San Mateo County (06081),2000-2004,female,65+,hw,0,1
  CA: San Mateo County (06081),2000-2004,female,65+,b,0,0
  CA: San Mateo County (06081),2005-2009,male,0-44,nhw,0,6
  CA: San Mateo County (06081),2005-2009,male,0-44,hw,0,11
  CA: San Mateo County (06081),2005-2009,male,0-44,b,0,2
  CA: San Mateo County (06081),2005-2009,male,45-64,nhw,0,11
  CA: San Mateo County (06081),2005-2009,male,45-64,hw,0,3
  CA: San Mateo County (06081),2005-2009,male,45-64,b,0,1
  CA: San Mateo County (06081),2005-2009,male,65+,nhw,0,18
  CA: San Mateo County (06081),2005-2009,male,65+,hw,0,0
  CA: San Mateo County (06081),2005-2009,male,65+,b,0,0
  CA: San Mateo County (06081),2005-2009,female,0-44,nhw,0,8
  CA: San Mateo County (06081),2005-2009,female,0-44,hw,0,2
  CA: San Mateo County (06081),2005-2009,female,0-44,b,0,1
  CA: San Mateo County (06081),2005-2009,female,45-64,nhw,0,7
  CA: San Mateo County (06081),2005-2009,female,45-64,hw,0,3
  CA: San Mateo County (06081),2005-2009,female,45-64,b,0,3
  CA: San Mateo County (06081),2005-2009,female,65+,nhw,0,8
  CA: San Mateo County (06081),2005-2009,female,65+,hw,0,3
  CA: San Mateo County (06081),2005-2009,female,65+,b,0,1
  CA: San Mateo County (06081),2010-2013,male,0-44,nhw,1,3
  CA: San Mateo County (06081),2010-2013,male,0-44,hw,0,6
  CA: San Mateo County (06081),2010-2013,male,0-44,b,0,1
  CA: San Mateo County (06081),2010-2013,male,45-64,nhw,0,12
  CA: San Mateo County (06081),2010-2013,male,45-64,hw,0,2
  CA: San Mateo County (06081),2010-2013,male,45-64,b,0,2
  CA: San Mateo County (06081),2010-2013,male,65+,nhw,1,15
  CA: San Mateo County (06081),2010-2013,male,65+,hw,0,3
  CA: San Mateo County (06081),2010-2013,male,65+,b,0,1
  CA: San Mateo County (06081),2010-2013,female,0-44,nhw,0,3
  CA: San Mateo County (06081),2010-2013,female,0-44,hw,0,0
  CA: San Mateo County (06081),2010-2013,female,0-44,b,0,2
  CA: San Mateo County (06081),2010-2013,female,45-64,nhw,0,5
  CA: San Mateo County (06081),2010-2013,female,45-64,hw,0,3
  CA: San Mateo County (06081),2010-2013,female,45-64,b,0,2
  CA: San Mateo County (06081),2010-2013,female,65+,nhw,0,16
  CA: San Mateo County (06081),2010-2013,female,65+,hw,0,0
  CA: San Mateo County (06081),2010-2013,female,65+,b,0,1
  CA: Monterey County (06053),2000-2004,male,0-44,nhw,0,7
  CA: Monterey County (06053),2000-2004,male,0-44,hw,0,8
  CA: Monterey County (06053),2000-2004,male,0-44,b,0,1
  CA: Monterey County (06053),2000-2004,male,45-64,nhw,0,4
  CA: Monterey County (06053),2000-2004,male,45-64,hw,0,1
  CA: Monterey County (06053),2000-2004,male,45-64,b,0,1
  CA: Monterey County (06053),2000-2004,male,65+,nhw,0,12
  CA: Monterey County (06053),2000-2004,male,65+,hw,0,2
  CA: Monterey County (06053),2000-2004,male,65+,b,0,1
  CA: Monterey County (06053),2000-2004,female,0-44,nhw,0,4
  CA: Monterey County (06053),2000-2004,female,0-44,hw,0,3
  CA: Monterey County (06053),2000-2004,female,0-44,b,0,2
  CA: Monterey County (06053),2000-2004,female,45-64,nhw,0,3
  CA: Monterey County (06053),2000-2004,female,45-64,hw,0,0
  CA: Monterey County (06053),2000-2004,female,45-64,b,0,0
  CA: Monterey County (06053),2000-2004,female,65+,nhw,0,5
  CA: Monterey County (06053),2000-2004,female,65+,hw,0,1
  CA: Monterey County (06053),2000-2004,female,65+,b,0,0
  CA: Monterey County (06053),2005-2009,male,0-44,nhw,0,2
  CA: Monterey County (06053),2005-2009,male,0-44,hw,0,7
  CA: Monterey County (06053),2005-2009,male,0-44,b,0,2
  CA: Monterey County (06053),2005-2009,male,45-64,nhw,1,7
  CA: Monterey County (06053),2005-2009,male,45-64,hw,0,2
  CA: Monterey County (06053),2005-2009,male,45-64,b,0,2
  CA: Monterey County (06053),2005-2009,male,65+,nhw,0,13
  CA: Monterey County (06053),2005-2009,male,65+,hw,0,3
  CA: Monterey County (06053),2005-2009,male,65+,b,0,0
  CA: Monterey County (06053),2005-2009,female,0-44,nhw,0,3
  CA: Monterey County (06053),2005-2009,female,0-44,hw,0,6
  CA: Monterey County (06053),2005-2009,female,0-44,b,0,0
  CA: Monterey County (06053),2005-2009,female,45-64,nhw,0,3
  CA: Monterey County (06053),2005-2009,female,45-64,hw,0,2
  CA: Monterey County (06053),2005-2009,female,45-64,b,0,1
  CA: Monterey County (06053),2005-2009,female,65+,nhw,0,8
  CA: Monterey County (06053),2005-2009,female,65+,hw,0,1
  CA: Monterey County (06053),2005-2009,female,65+,b,0,0
  CA: Monterey County (06053),2010-2013,male,0-44,nhw,0,1
  CA: Monterey County (06053),2010-2013,male,0-44,hw,0,3
  CA: Monterey County (06053),2010-2013,male,0-44,b,0,0
  CA: Monterey County (06053),2010-2013,male,45-64,nhw,0,6
  CA: Monterey County (06053),2010-2013,male,45-64,hw,0,3
  CA: Monterey County (06053),2010-2013,male,45-64,b,0,1
  CA: Monterey County (06053),2010-2013,male,65+,nhw,0,9
  CA: Monterey County (06053),2010-2013,male,65+,hw,0,3
  CA: Monterey County (06053),2010-2013,male,65+,b,0,0
  CA: Monterey County (06053),2010-2013,female,0-44,nhw,0,1
  CA: Monterey County (06053),2010-2013,female,0-44,hw,0,3
  CA: Monterey County (06053),2010-2013,female,0-44,b,0,0
  CA: Monterey County (06053),2010-2013,female,45-64,nhw,0,3
  CA: Monterey County (06053),2010-2013,female,45-64,hw,0,5
  CA: Monterey County (06053),2010-2013,female,45-64,b,0,1
  CA: Monterey County (06053),2010-2013,female,65+,nhw,0,11
  CA: Monterey County (06053),2010-2013,female,65+,hw,0,1
  CA: Monterey County (06053),2010-2013,female,65+,b,0,0
  CA: San Benito County (06069),2000-2004,male,0-44,nhw,0,0
  CA: San Benito County (06069),2000-2004,male,0-44,hw,0,1
  CA: San Benito County (06069),2000-2004,male,0-44,b,0,0
  CA: San Benito County (06069),2000-2004,male,45-64,nhw,0,0
  CA: San Benito County (06069),2000-2004,male,45-64,hw,0,0
  CA: San Benito County (06069),2000-2004,male,45-64,b,0,0
  CA: San Benito County (06069),2000-2004,male,65+,nhw,0,0
  CA: San Benito County (06069),2000-2004,male,65+,hw,0,1
  CA: San Benito County (06069),2000-2004,male,65+,b,0,0
  CA: San Benito County (06069),2000-2004,female,0-44,nhw,0,0
  CA: San Benito County (06069),2000-2004,female,0-44,hw,0,2
  CA: San Benito County (06069),2000-2004,female,0-44,b,0,0
  CA: San Benito County (06069),2000-2004,female,45-64,nhw,0,1
  CA: San Benito County (06069),2000-2004,female,45-64,hw,0,0
  CA: San Benito County (06069),2000-2004,female,45-64,b,0,0
  CA: San Benito County (06069),2000-2004,female,65+,nhw,0,1
  CA: San Benito County (06069),2000-2004,female,65+,hw,0,0
  CA: San Benito County (06069),2000-2004,female,65+,b,0,0
  CA: San Benito County (06069),2005-2009,male,0-44,nhw,0,0
  CA: San Benito County (06069),2005-2009,male,0-44,hw,0,0
  CA: San Benito County (06069),2005-2009,male,0-44,b,0,0
  CA: San Benito County (06069),2005-2009,male,45-64,nhw,0,1
  CA: San Benito County (06069),2005-2009,male,45-64,hw,0,0
  CA: San Benito County (06069),2005-2009,male,45-64,b,0,0
  CA: San Benito County (06069),2005-2009,male,65+,nhw,0,1
  CA: San Benito County (06069),2005-2009,male,65+,hw,0,0
  CA: San Benito County (06069),2005-2009,male,65+,b,0,0
  CA: San Benito County (06069),2005-2009,female,0-44,nhw,0,0
  CA: San Benito County (06069),2005-2009,female,0-44,hw,0,0
  CA: San Benito County (06069),2005-2009,female,0-44,b,0,0
  CA: San Benito County (06069),2005-2009,female,45-64,nhw,0,0
  CA: San Benito County (06069),2005-2009,female,45-64,hw,0,2
  CA: San Benito County (06069),2005-2009,female,45-64,b,0,0
  CA: San Benito County (06069),2005-2009,female,65+,nhw,0,2
  CA: San Benito County (06069),2005-2009,female,65+,hw,0,1
  CA: San Benito County (06069),2005-2009,female,65+,b,0,0
  CA: San Benito County (06069),2010-2013,male,0-44,nhw,0,0
  CA: San Benito County (06069),2010-2013,male,0-44,hw,0,2
  CA: San Benito County (06069),2010-2013,male,0-44,b,0,0
  CA: San Benito County (06069),2010-2013,male,45-64,nhw,0,1
  CA: San Benito County (06069),2010-2013,male,45-64,hw,0,3
  CA: San Benito County (06069),2010-2013,male,45-64,b,0,0
  CA: San Benito County (06069),2010-2013,male,65+,nhw,0,3
  CA: San Benito County (06069),2010-2013,male,65+,hw,0,0
  CA: San Benito County (06069),2010-2013,male,65+,b,0,0
  CA: San Benito County (06069),2010-2013,female,0-44,nhw,0,0
  CA: San Benito County (06069),2010-2013,female,0-44,hw,0,0
  CA: San Benito County (06069),2010-2013,female,0-44,b,0,0
  CA: San Benito County (06069),2010-2013,female,45-64,nhw,0,0
  CA: San Benito County (06069),2010-2013,female,45-64,hw,0,0
  CA: San Benito County (06069),2010-2013,female,45-64,b,0,0
  CA: San Benito County (06069),2010-2013,female,65+,nhw,0,0
  CA: San Benito County (06069),2010-2013,female,65+,hw,0,0
  CA: San Benito County (06069),2010-2013,female,65+,b,0,0
  CA: Santa Clara County (06085),2000-2004,male,0-44,nhw,0,24
  CA: Santa Clara County (06085),2000-2004,male,0-44,hw,0,22
  CA: Santa Clara County (06085),2000-2004,male,0-44,b,0,0
  CA: Santa Clara County (06085),2000-2004,male,45-64,nhw,0,22
  CA: Santa Clara County (06085),2000-2004,male,45-64,hw,0,6
  CA: Santa Clara County (06085),2000-2004,male,45-64,b,0,1
  CA: Santa Clara County (06085),2000-2004,male,65+,nhw,0,34
  CA: Santa Clara County (06085),2000-2004,male,65+,hw,0,2
  CA: Santa Clara County (06085),2000-2004,male,65+,b,0,0
  CA: Santa Clara County (06085),2000-2004,female,0-44,nhw,0,11
  CA: Santa Clara County (06085),2000-2004,female,0-44,hw,0,13
  CA: Santa Clara County (06085),2000-2004,female,0-44,b,0,1
  CA: Santa Clara County (06085),2000-2004,female,45-64,nhw,0,11
  CA: Santa Clara County (06085),2000-2004,female,45-64,hw,0,5
  CA: Santa Clara County (06085),2000-2004,female,45-64,b,0,1
  CA: Santa Clara County (06085),2000-2004,female,65+,nhw,0,27
  CA: Santa Clara County (06085),2000-2004,female,65+,hw,0,5
  CA: Santa Clara County (06085),2000-2004,female,65+,b,0,0
  CA: Santa Clara County (06085),2005-2009,male,0-44,nhw,0,20
  CA: Santa Clara County (06085),2005-2009,male,0-44,hw,0,21
  CA: Santa Clara County (06085),2005-2009,male,0-44,b,0,3
  CA: Santa Clara County (06085),2005-2009,male,45-64,nhw,0,24
  CA: Santa Clara County (06085),2005-2009,male,45-64,hw,0,7
  CA: Santa Clara County (06085),2005-2009,male,45-64,b,0,1
  CA: Santa Clara County (06085),2005-2009,male,65+,nhw,0,34
  CA: Santa Clara County (06085),2005-2009,male,65+,hw,0,10
  CA: Santa Clara County (06085),2005-2009,male,65+,b,0,0
  CA: Santa Clara County (06085),2005-2009,female,0-44,nhw,0,22
  CA: Santa Clara County (06085),2005-2009,female,0-44,hw,0,10
  CA: Santa Clara County (06085),2005-2009,female,0-44,b,0,2
  CA: Santa Clara County (06085),2005-2009,female,45-64,nhw,0,9
  CA: Santa Clara County (06085),2005-2009,female,45-64,hw,0,9
  CA: Santa Clara County (06085),2005-2009,female,45-64,b,0,1
  CA: Santa Clara County (06085),2005-2009,female,65+,nhw,0,30
  CA: Santa Clara County (06085),2005-2009,female,65+,hw,1,4
  CA: Santa Clara County (06085),2005-2009,female,65+,b,0,0
  CA: Santa Clara County (06085),2010-2013,male,0-44,nhw,0,16
  CA: Santa Clara County (06085),2010-2013,male,0-44,hw,0,16
  CA: Santa Clara County (06085),2010-2013,male,0-44,b,0,1
  CA: Santa Clara County (06085),2010-2013,male,45-64,nhw,0,29
  CA: Santa Clara County (06085),2010-2013,male,45-64,hw,0,10
  CA: Santa Clara County (06085),2010-2013,male,45-64,b,0,0
  CA: Santa Clara County (06085),2010-2013,male,65+,nhw,0,33
  CA: Santa Clara County (06085),2010-2013,male,65+,hw,0,7
  CA: Santa Clara County (06085),2010-2013,male,65+,b,0,0
  CA: Santa Clara County (06085),2010-2013,female,0-44,nhw,0,9
  CA: Santa Clara County (06085),2010-2013,female,0-44,hw,0,12
  CA: Santa Clara County (06085),2010-2013,female,0-44,b,0,3
  CA: Santa Clara County (06085),2010-2013,female,45-64,nhw,0,11
  CA: Santa Clara County (06085),2010-2013,female,45-64,hw,0,6
  CA: Santa Clara County (06085),2010-2013,female,45-64,b,0,1
  CA: Santa Clara County (06085),2010-2013,female,65+,nhw,0,28
  CA: Santa Clara County (06085),2010-2013,female,65+,hw,0,4
  CA: Santa Clara County (06085),2010-2013,female,65+,b,0,0
