,,,,,eye_scc,eye_non
  CA: Contra Costa County (06013),2010-2013,male,65+,hw,0,0
  CA: Contra Costa County (06013),2010-2013,male,65+,b,0,0
  CA: Contra Costa County (06013),2010-2013,female,0-44,nhw,0,2
  CA: Contra Costa County (06013),2010-2013,female,0-44,hw,0,1
  CA: Contra Costa County (06013),2010-2013,female,0-44,b,0,0
  CA: Contra Costa County (06013),2010-2013,female,45-64,nhw,0,5
  CA: Contra Costa County (06013),2010-2013,female,45-64,hw,0,1
  CA: Contra Costa County (06013),2010-2013,female,45-64,b,0,0
  CA: Contra Costa County (06013),2010-2013,female,65+,nhw,0,4
  CA: Contra Costa County (06013),2010-2013,female,65+,hw,0,1
  CA: Contra Costa County (06013),2010-2013,female,65+,b,0,0
  CA: Marin County (06041),2000-2004,male,0-44,nhw,0,3
  CA: Marin County (06041),2000-2004,male,0-44,hw,0,1
  CA: Marin County (06041),2000-2004,male,0-44,b,0,0
  CA: Marin County (06041),2000-2004,male,45-64,nhw,0,2
  CA: Marin County (06041),2000-2004,male,45-64,hw,0,0
  CA: Marin County (06041),2000-2004,male,45-64,b,0,0
  CA: Marin County (06041),2000-2004,male,65+,nhw,0,3
  CA: Marin County (06041),2000-2004,male,65+,hw,0,0
  CA: Marin County (06041),2000-2004,male,65+,b,0,0
  CA: Marin County (06041),2000-2004,female,0-44,nhw,0,3
  CA: Marin County (06041),2000-2004,female,0-44,hw,0,0
  CA: Marin County (06041),2000-2004,female,0-44,b,0,0
  CA: Marin County (06041),2000-2004,female,45-64,nhw,1,4
  CA: Marin County (06041),2000-2004,female,45-64,hw,0,0
  CA: Marin County (06041),2000-2004,female,45-64,b,0,0
  CA: Marin County (06041),2000-2004,female,65+,nhw,1,3
  CA: Marin County (06041),2000-2004,female,65+,hw,0,0
  CA: Marin County (06041),2000-2004,female,65+,b,0,0
  CA: Marin County (06041),2005-2009,male,0-44,nhw,0,2
  CA: Marin County (06041),2005-2009,male,0-44,hw,0,0
  CA: Marin County (06041),2005-2009,male,0-44,b,0,0
  CA: Marin County (06041),2005-2009,male,45-64,nhw,1,3
  CA: Marin County (06041),2005-2009,male,45-64,hw,0,0
  CA: Marin County (06041),2005-2009,male,45-64,b,0,0
  CA: Marin County (06041),2005-2009,male,65+,nhw,0,4
  CA: Marin County (06041),2005-2009,male,65+,hw,0,0
  CA: Marin County (06041),2005-2009,male,65+,b,0,0
  CA: Marin County (06041),2005-2009,female,0-44,nhw,0,3
  CA: Marin County (06041),2005-2009,female,0-44,hw,0,0
  CA: Marin County (06041),2005-2009,female,0-44,b,0,0
  CA: Marin County (06041),2005-2009,female,45-64,nhw,0,1
  CA: Marin County (06041),2005-2009,female,45-64,hw,0,1
  CA: Marin County (06041),2005-2009,female,45-64,b,0,0
  CA: Marin County (06041),2005-2009,female,65+,nhw,0,7
  CA: Marin County (06041),2005-2009,female,65+,hw,0,0
  CA: Marin County (06041),2005-2009,female,65+,b,0,0
  CA: Marin County (06041),2010-2013,male,0-44,nhw,0,1
  CA: Marin County (06041),2010-2013,male,0-44,hw,0,0
  CA: Marin County (06041),2010-2013,male,0-44,b,0,0
  CA: Marin County (06041),2010-2013,male,45-64,nhw,0,1
  CA: Marin County (06041),2010-2013,male,45-64,hw,0,0
  CA: Marin County (06041),2010-2013,male,45-64,b,0,0
  CA: Marin County (06041),2010-2013,male,65+,nhw,0,1
  CA: Marin County (06041),2010-2013,male,65+,hw,0,0
  CA: Marin County (06041),2010-2013,male,65+,b,0,0
  CA: Marin County (06041),2010-2013,female,0-44,nhw,0,0
  CA: Marin County (06041),2010-2013,female,0-44,hw,0,0
  CA: Marin County (06041),2010-2013,female,0-44,b,0,0
  CA: Marin County (06041),2010-2013,female,45-64,nhw,0,3
  CA: Marin County (06041),2010-2013,female,45-64,hw,0,0
  CA: Marin County (06041),2010-2013,female,45-64,b,0,0
  CA: Marin County (06041),2010-2013,female,65+,nhw,0,2
  CA: Marin County (06041),2010-2013,female,65+,hw,0,0
  CA: Marin County (06041),2010-2013,female,65+,b,0,0
  CA: San Francisco County (06075),2000-2004,male,0-44,nhw,1,5
  CA: San Francisco County (06075),2000-2004,male,0-44,hw,0,0
  CA: San Francisco County (06075),2000-2004,male,0-44,b,0,0
  CA: San Francisco County (06075),2000-2004,male,45-64,nhw,0,8
  CA: San Francisco County (06075),2000-2004,male,45-64,hw,0,0
  CA: San Francisco County (06075),2000-2004,male,45-64,b,0,0
  CA: San Francisco County (06075),2000-2004,male,65+,nhw,1,1
  CA: San Francisco County (06075),2000-2004,male,65+,hw,0,0
  CA: San Francisco County (06075),2000-2004,male,65+,b,0,0
  CA: San Francisco County (06075),2000-2004,female,0-44,nhw,0,5
  CA: San Francisco County (06075),2000-2004,female,0-44,hw,0,0
  CA: San Francisco County (06075),2000-2004,female,0-44,b,0,1
  CA: San Francisco County (06075),2000-2004,female,45-64,nhw,0,5
  CA: San Francisco County (06075),2000-2004,female,45-64,hw,0,0
  CA: San Francisco County (06075),2000-2004,female,45-64,b,0,1
  CA: San Francisco County (06075),2000-2004,female,65+,nhw,0,3
  CA: San Francisco County (06075),2000-2004,female,65+,hw,1,0
  CA: San Francisco County (06075),2000-2004,female,65+,b,0,0
  CA: San Francisco County (06075),2005-2009,male,0-44,nhw,0,2
  CA: San Francisco County (06075),2005-2009,male,0-44,hw,0,0
  CA: San Francisco County (06075),2005-2009,male,0-44,b,0,0
  CA: San Francisco County (06075),2005-2009,male,45-64,nhw,0,2
  CA: San Francisco County (06075),2005-2009,male,45-64,hw,0,0
  CA: San Francisco County (06075),2005-2009,male,45-64,b,0,0
  CA: San Francisco County (06075),2005-2009,male,65+,nhw,3,3
  CA: San Francisco County (06075),2005-2009,male,65+,hw,1,1
  CA: San Francisco County (06075),2005-2009,male,65+,b,0,0
  CA: San Francisco County (06075),2005-2009,female,0-44,nhw,0,0
  CA: San Francisco County (06075),2005-2009,female,0-44,hw,0,0
  CA: San Francisco County (06075),2005-2009,female,0-44,b,0,0
  CA: San Francisco County (06075),2005-2009,female,45-64,nhw,0,1
  CA: San Francisco County (06075),2005-2009,female,45-64,hw,0,0
  CA: San Francisco County (06075),2005-2009,female,45-64,b,0,0
  CA: San Francisco County (06075),2005-2009,female,65+,nhw,0,4
  CA: San Francisco County (06075),2005-2009,female,65+,hw,0,0
  CA: San Francisco County (06075),2005-2009,female,65+,b,0,0
  CA: San Francisco County (06075),2010-2013,male,0-44,nhw,0,1
  CA: San Francisco County (06075),2010-2013,male,0-44,hw,0,0
  CA: San Francisco County (06075),2010-2013,male,0-44,b,0,0
  CA: San Francisco County (06075),2010-2013,male,45-64,nhw,2,5
  CA: San Francisco County (06075),2010-2013,male,45-64,hw,0,1
  CA: San Francisco County (06075),2010-2013,male,45-64,b,0,0
  CA: San Francisco County (06075),2010-2013,male,65+,nhw,0,4
  CA: San Francisco County (06075),2010-2013,male,65+,hw,0,0
  CA: San Francisco County (06075),2010-2013,male,65+,b,0,0
  CA: San Francisco County (06075),2010-2013,female,0-44,nhw,0,3
  CA: San Francisco County (06075),2010-2013,female,0-44,hw,0,0
  CA: San Francisco County (06075),2010-2013,female,0-44,b,0,0
  CA: San Francisco County (06075),2010-2013,female,45-64,nhw,0,1
  CA: San Francisco County (06075),2010-2013,female,45-64,hw,1,0
  CA: San Francisco County (06075),2010-2013,female,45-64,b,0,0
  CA: San Francisco County (06075),2010-2013,female,65+,nhw,0,2
  CA: San Francisco County (06075),2010-2013,female,65+,hw,0,1
  CA: San Francisco County (06075),2010-2013,female,65+,b,0,0
  CA: San Mateo County (06081),2000-2004,male,0-44,nhw,1,3
  CA: San Mateo County (06081),2000-2004,male,0-44,hw,0,0
  CA: San Mateo County (06081),2000-2004,male,0-44,b,0,0
  CA: San Mateo County (06081),2000-2004,male,45-64,nhw,0,5
  CA: San Mateo County (06081),2000-2004,male,45-64,hw,0,0
  CA: San Mateo County (06081),2000-2004,male,45-64,b,0,0
  CA: San Mateo County (06081),2000-2004,male,65+,nhw,0,6
  CA: San Mateo County (06081),2000-2004,male,65+,hw,0,0
  CA: San Mateo County (06081),2000-2004,male,65+,b,0,0
  CA: San Mateo County (06081),2000-2004,female,0-44,nhw,0,0
  CA: San Mateo County (06081),2000-2004,female,0-44,hw,0,1
  CA: San Mateo County (06081),2000-2004,female,0-44,b,0,0
  CA: San Mateo County (06081),2000-2004,female,45-64,nhw,1,2
  CA: San Mateo County (06081),2000-2004,female,45-64,hw,0,0
  CA: San Mateo County (06081),2000-2004,female,45-64,b,0,0
  CA: San Mateo County (06081),2000-2004,female,65+,nhw,0,3
  CA: San Mateo County (06081),2000-2004,female,65+,hw,0,0
  CA: San Mateo County (06081),2000-2004,female,65+,b,0,0
  CA: San Mateo County (06081),2005-2009,male,0-44,nhw,0,3
  CA: San Mateo County (06081),2005-2009,male,0-44,hw,0,0
  CA: San Mateo County (06081),2005-2009,male,0-44,b,0,0
  CA: San Mateo County (06081),2005-2009,male,45-64,nhw,1,5
  CA: San Mateo County (06081),2005-2009,male,45-64,hw,0,0
  CA: San Mateo County (06081),2005-2009,male,45-64,b,0,0
  CA: San Mateo County (06081),2005-2009,male,65+,nhw,1,5
  CA: San Mateo County (06081),2005-2009,male,65+,hw,0,0
  CA: San Mateo County (06081),2005-2009,male,65+,b,0,0
  CA: San Mateo County (06081),2005-2009,female,0-44,nhw,0,4
  CA: San Mateo County (06081),2005-2009,female,0-44,hw,1,0
  CA: San Mateo County (06081),2005-2009,female,0-44,b,0,0
  CA: San Mateo County (06081),2005-2009,female,45-64,nhw,0,5
  CA: San Mateo County (06081),2005-2009,female,45-64,hw,0,0
  CA: San Mateo County (06081),2005-2009,female,45-64,b,0,0
  CA: San Mateo County (06081),2005-2009,female,65+,nhw,0,10
  CA: San Mateo County (06081),2005-2009,female,65+,hw,0,1
  CA: San Mateo County (06081),2005-2009,female,65+,b,0,0
  CA: San Mateo County (06081),2010-2013,male,0-44,nhw,0,1
  CA: San Mateo County (06081),2010-2013,male,0-44,hw,0,0
  CA: San Mateo County (06081),2010-2013,male,0-44,b,0,0
  CA: San Mateo County (06081),2010-2013,male,45-64,nhw,0,5
  CA: San Mateo County (06081),2010-2013,male,45-64,hw,0,0
  CA: San Mateo County (06081),2010-2013,male,45-64,b,0,0
  CA: San Mateo County (06081),2010-2013,male,65+,nhw,1,2
  CA: San Mateo County (06081),2010-2013,male,65+,hw,1,0
  CA: San Mateo County (06081),2010-2013,male,65+,b,0,0
  CA: San Mateo County (06081),2010-2013,female,0-44,nhw,0,0
  CA: San Mateo County (06081),2010-2013,female,0-44,hw,1,1
  CA: San Mateo County (06081),2010-2013,female,0-44,b,0,0
  CA: San Mateo County (06081),2010-2013,female,45-64,nhw,0,2
  CA: San Mateo County (06081),2010-2013,female,45-64,hw,0,0
  CA: San Mateo County (06081),2010-2013,female,45-64,b,0,0
  CA: San Mateo County (06081),2010-2013,female,65+,nhw,0,5
  CA: San Mateo County (06081),2010-2013,female,65+,hw,0,0
  CA: San Mateo County (06081),2010-2013,female,65+,b,0,0
  CA: Monterey County (06053),2000-2004,male,0-44,nhw,0,1
  CA: Monterey County (06053),2000-2004,male,0-44,hw,0,0
  CA: Monterey County (06053),2000-2004,male,0-44,b,0,0
  CA: Monterey County (06053),2000-2004,male,45-64,nhw,1,0
  CA: Monterey County (06053),2000-2004,male,45-64,hw,0,0
  CA: Monterey County (06053),2000-2004,male,45-64,b,0,0
  CA: Monterey County (06053),2000-2004,male,65+,nhw,2,2
  CA: Monterey County (06053),2000-2004,male,65+,hw,0,0
  CA: Monterey County (06053),2000-2004,male,65+,b,0,0
  CA: Monterey County (06053),2000-2004,female,0-44,nhw,0,1
  CA: Monterey County (06053),2000-2004,female,0-44,hw,0,0
  CA: Monterey County (06053),2000-2004,female,0-44,b,0,0
  CA: Monterey County (06053),2000-2004,female,45-64,nhw,0,3
  CA: Monterey County (06053),2000-2004,female,45-64,hw,0,0
  CA: Monterey County (06053),2000-2004,female,45-64,b,0,0
  CA: Monterey County (06053),2000-2004,female,65+,nhw,0,0
  CA: Monterey County (06053),2000-2004,female,65+,hw,0,0
  CA: Monterey County (06053),2000-2004,female,65+,b,0,0
  CA: Monterey County (06053),2005-2009,male,0-44,nhw,0,1
  CA: Monterey County (06053),2005-2009,male,0-44,hw,0,0
  CA: Monterey County (06053),2005-2009,male,0-44,b,0,0
  CA: Monterey County (06053),2005-2009,male,45-64,nhw,1,2
  CA: Monterey County (06053),2005-2009,male,45-64,hw,1,0
  CA: Monterey County (06053),2005-2009,male,45-64,b,0,0
  CA: Monterey County (06053),2005-2009,male,65+,nhw,0,5
  CA: Monterey County (06053),2005-2009,male,65+,hw,0,0
  CA: Monterey County (06053),2005-2009,male,65+,b,0,0
  CA: Monterey County (06053),2005-2009,female,0-44,nhw,0,1
  CA: Monterey County (06053),2005-2009,female,0-44,hw,0,3
  CA: Monterey County (06053),2005-2009,female,0-44,b,0,0
  CA: Monterey County (06053),2005-2009,female,45-64,nhw,0,0
  CA: Monterey County (06053),2005-2009,female,45-64,hw,0,1
  CA: Monterey County (06053),2005-2009,female,45-64,b,0,0
  CA: Monterey County (06053),2005-2009,female,65+,nhw,0,4
  CA: Monterey County (06053),2005-2009,female,65+,hw,0,0
  CA: Monterey County (06053),2005-2009,female,65+,b,0,0
  CA: Monterey County (06053),2010-2013,male,0-44,nhw,0,0
  CA: Monterey County (06053),2010-2013,male,0-44,hw,0,1
  CA: Monterey County (06053),2010-2013,male,0-44,b,0,0
  CA: Monterey County (06053),2010-2013,male,45-64,nhw,1,0
  CA: Monterey County (06053),2010-2013,male,45-64,hw,0,0
  CA: Monterey County (06053),2010-2013,male,45-64,b,0,0
  CA: Monterey County (06053),2010-2013,male,65+,nhw,0,1
  CA: Monterey County (06053),2010-2013,male,65+,hw,1,0
  CA: Monterey County (06053),2010-2013,male,65+,b,0,0
  CA: Monterey County (06053),2010-2013,female,0-44,nhw,0,0
  CA: Monterey County (06053),2010-2013,female,0-44,hw,0,2
  CA: Monterey County (06053),2010-2013,female,0-44,b,0,0
  CA: Monterey County (06053),2010-2013,female,45-64,nhw,1,3
  CA: Monterey County (06053),2010-2013,female,45-64,hw,0,0
  CA: Monterey County (06053),2010-2013,female,45-64,b,0,0
  CA: Monterey County (06053),2010-2013,female,65+,nhw,0,3
  CA: Monterey County (06053),2010-2013,female,65+,hw,0,0
  CA: Monterey County (06053),2010-2013,female,65+,b,0,0
  CA: San Benito County (06069),2000-2004,male,0-44,nhw,0,0
  CA: San Benito County (06069),2000-2004,male,0-44,hw,0,0
  CA: San Benito County (06069),2000-2004,male,0-44,b,0,0
  CA: San Benito County (06069),2000-2004,male,45-64,nhw,0,0
  CA: San Benito County (06069),2000-2004,male,45-64,hw,0,0
  CA: San Benito County (06069),2000-2004,male,45-64,b,0,0
  CA: San Benito County (06069),2000-2004,male,65+,nhw,0,0
  CA: San Benito County (06069),2000-2004,male,65+,hw,0,0
  CA: San Benito County (06069),2000-2004,male,65+,b,0,0
  CA: San Benito County (06069),2000-2004,female,0-44,nhw,0,0
  CA: San Benito County (06069),2000-2004,female,0-44,hw,0,0
  CA: San Benito County (06069),2000-2004,female,0-44,b,0,0
  CA: San Benito County (06069),2000-2004,female,45-64,nhw,0,0
  CA: San Benito County (06069),2000-2004,female,45-64,hw,0,0
  CA: San Benito County (06069),2000-2004,female,45-64,b,0,0
  CA: San Benito County (06069),2000-2004,female,65+,nhw,0,0
  CA: San Benito County (06069),2000-2004,female,65+,hw,0,1
  CA: San Benito County (06069),2000-2004,female,65+,b,0,0
  CA: San Benito County (06069),2005-2009,male,0-44,nhw,0,0
  CA: San Benito County (06069),2005-2009,male,0-44,hw,0,1
  CA: San Benito County (06069),2005-2009,male,0-44,b,0,0
  CA: San Benito County (06069),2005-2009,male,45-64,nhw,0,0
  CA: San Benito County (06069),2005-2009,male,45-64,hw,0,0
  CA: San Benito County (06069),2005-2009,male,45-64,b,0,0
  CA: San Benito County (06069),2005-2009,male,65+,nhw,1,0
  CA: San Benito County (06069),2005-2009,male,65+,hw,0,0
  CA: San Benito County (06069),2005-2009,male,65+,b,0,0
  CA: San Benito County (06069),2005-2009,female,0-44,nhw,0,0
  CA: San Benito County (06069),2005-2009,female,0-44,hw,0,0
  CA: San Benito County (06069),2005-2009,female,0-44,b,0,0
  CA: San Benito County (06069),2005-2009,female,45-64,nhw,0,0
  CA: San Benito County (06069),2005-2009,female,45-64,hw,0,0
  CA: San Benito County (06069),2005-2009,female,45-64,b,0,0
  CA: San Benito County (06069),2005-2009,female,65+,nhw,0,0
  CA: San Benito County (06069),2005-2009,female,65+,hw,0,0
  CA: San Benito County (06069),2005-2009,female,65+,b,0,0
  CA: San Benito County (06069),2010-2013,male,0-44,nhw,0,0
  CA: San Benito County (06069),2010-2013,male,0-44,hw,0,0
  CA: San Benito County (06069),2010-2013,male,0-44,b,0,0
  CA: San Benito County (06069),2010-2013,male,45-64,nhw,0,0
  CA: San Benito County (06069),2010-2013,male,45-64,hw,0,0
  CA: San Benito County (06069),2010-2013,male,45-64,b,0,0
  CA: San Benito County (06069),2010-2013,male,65+,nhw,0,0
  CA: San Benito County (06069),2010-2013,male,65+,hw,0,0
  CA: San Benito County (06069),2010-2013,male,65+,b,0,0
  CA: San Benito County (06069),2010-2013,female,0-44,nhw,0,0
  CA: San Benito County (06069),2010-2013,female,0-44,hw,0,0
  CA: San Benito County (06069),2010-2013,female,0-44,b,0,0
  CA: San Benito County (06069),2010-2013,female,45-64,nhw,0,0
  CA: San Benito County (06069),2010-2013,female,45-64,hw,0,0
  CA: San Benito County (06069),2010-2013,female,45-64,b,0,0
  CA: San Benito County (06069),2010-2013,female,65+,nhw,0,0
  CA: San Benito County (06069),2010-2013,female,65+,hw,0,0
  CA: San Benito County (06069),2010-2013,female,65+,b,0,0
  CA: Santa Clara County (06085),2000-2004,male,0-44,nhw,2,4
  CA: Santa Clara County (06085),2000-2004,male,0-44,hw,0,4
  CA: Santa Clara County (06085),2000-2004,male,0-44,b,0,0
  CA: Santa Clara County (06085),2000-2004,male,45-64,nhw,2,9
  CA: Santa Clara County (06085),2000-2004,male,45-64,hw,0,1
  CA: Santa Clara County (06085),2000-2004,male,45-64,b,0,0
  CA: Santa Clara County (06085),2000-2004,male,65+,nhw,2,8
  CA: Santa Clara County (06085),2000-2004,male,65+,hw,0,0
  CA: Santa Clara County (06085),2000-2004,male,65+,b,0,0
  CA: Santa Clara County (06085),2000-2004,female,0-44,nhw,1,5
  CA: Santa Clara County (06085),2000-2004,female,0-44,hw,0,1
  CA: Santa Clara County (06085),2000-2004,female,0-44,b,0,1
  CA: Santa Clara County (06085),2000-2004,female,45-64,nhw,1,7
  CA: Santa Clara County (06085),2000-2004,female,45-64,hw,0,1
  CA: Santa Clara County (06085),2000-2004,female,45-64,b,0,0
  CA: Santa Clara County (06085),2000-2004,female,65+,nhw,0,9
  CA: Santa Clara County (06085),2000-2004,female,65+,hw,0,2
  CA: Santa Clara County (06085),2000-2004,female,65+,b,0,0
  CA: Santa Clara County (06085),2005-2009,male,0-44,nhw,0,6
  CA: Santa Clara County (06085),2005-2009,male,0-44,hw,0,5
  CA: Santa Clara County (06085),2005-2009,male,0-44,b,0,0
  CA: Santa Clara County (06085),2005-2009,male,45-64,nhw,1,11
  CA: Santa Clara County (06085),2005-2009,male,45-64,hw,0,1
  CA: Santa Clara County (06085),2005-2009,male,45-64,b,0,0
  CA: Santa Clara County (06085),2005-2009,male,65+,nhw,1,3
  CA: Santa Clara County (06085),2005-2009,male,65+,hw,0,1
  CA: Santa Clara County (06085),2005-2009,male,65+,b,0,0
  CA: Santa Clara County (06085),2005-2009,female,0-44,nhw,1,1
  CA: Santa Clara County (06085),2005-2009,female,0-44,hw,0,1
  CA: Santa Clara County (06085),2005-2009,female,0-44,b,0,0
  CA: Santa Clara County (06085),2005-2009,female,45-64,nhw,0,7
  CA: Santa Clara County (06085),2005-2009,female,45-64,hw,0,1
  CA: Santa Clara County (06085),2005-2009,female,45-64,b,0,0
  CA: Santa Clara County (06085),2005-2009,female,65+,nhw,1,8
  CA: Santa Clara County (06085),2005-2009,female,65+,hw,0,0
  CA: Santa Clara County (06085),2005-2009,female,65+,b,0,0
  CA: Santa Clara County (06085),2010-2013,male,0-44,nhw,1,2
  CA: Santa Clara County (06085),2010-2013,male,0-44,hw,0,1
  CA: Santa Clara County (06085),2010-2013,male,0-44,b,0,0
  CA: Santa Clara County (06085),2010-2013,male,45-64,nhw,0,9
  CA: Santa Clara County (06085),2010-2013,male,45-64,hw,1,0
  CA: Santa Clara County (06085),2010-2013,male,45-64,b,0,0
  CA: Santa Clara County (06085),2010-2013,male,65+,nhw,0,9
  CA: Santa Clara County (06085),2010-2013,male,65+,hw,3,0
  CA: Santa Clara County (06085),2010-2013,male,65+,b,0,0
  CA: Santa Clara County (06085),2010-2013,female,0-44,nhw,0,5
  CA: Santa Clara County (06085),2010-2013,female,0-44,hw,0,1
  CA: Santa Clara County (06085),2010-2013,female,0-44,b,0,0
  CA: Santa Clara County (06085),2010-2013,female,45-64,nhw,0,5
  CA: Santa Clara County (06085),2010-2013,female,45-64,hw,0,0
  CA: Santa Clara County (06085),2010-2013,female,45-64,b,0,0
  CA: Santa Clara County (06085),2010-2013,female,65+,nhw,0,6
  CA: Santa Clara County (06085),2010-2013,female,65+,hw,1,0
  CA: Santa Clara County (06085),2010-2013,female,65+,b,0,0
